,Date,Bitcoin,Positive,Negative,price,volume
0,2017-09-15,18,11.0,18.0,3698.92,169361.61
1,2017-09-16,12,5.0,14.0,3689.61,96068.08
2,2017-09-17,10,4.0,8.0,4100.28,147927.08
3,2017-09-18,11,9.0,6.0,3907.96,123214.81
4,2017-09-19,11,8.0,10.0,3882.16,86645.15
5,2017-09-20,9,6.0,9.0,3617.27,145124.78
6,2017-09-21,10,6.0,10.0,3600.83,114717.36
7,2017-09-22,9,4.0,5.0,3788.02,67820.32
8,2017-09-23,7,4.0,6.0,3667.52,49661.76
9,2017-09-24,7,4.0,5.0,3932.83,100194.7
10,2017-09-25,8,4.0,4.0,3892.7,63252.3
11,2017-09-26,8,5.0,5.0,4212.2,117596.07
12,2017-09-27,8,6.0,11.0,4195.65,92228.17
13,2017-09-28,8,8.0,11.0,4172.79,97803.91
14,2017-09-29,8,7.0,6.0,4360.62,67493.68
15,2017-09-30,7,8.0,5.0,4403.09,60583.85
16,2017-10-01,7,4.0,8.0,4401.32,71201.48
17,2017-10-02,8,6.0,7.0,4314.18,81867.3
18,2017-10-03,8,5.0,4.0,4218.66,64081.96
19,2017-10-04,7,6.0,7.0,4321.44,63613.2
20,2017-10-05,8,6.0,8.0,4371.94,61692.93
21,2017-10-06,7,5.0,9.0,4435.81,40202.08
22,2017-10-07,7,4.0,8.0,4611.7,71366.95
23,2017-10-08,8,4.0,8.0,4777.49,110191.77
24,2017-10-09,9,5.0,7.0,4763.36,98485.0
25,2017-10-10,10,7.0,9.0,4824.2,70482.75
26,2017-10-11,9,7.0,10.0,5432.62,163916.09
27,2017-10-12,15,14.0,16.0,5637.26,215018.92
28,2017-10-13,18,14.0,12.0,5824.71,76224.35
29,2017-10-14,12,9.0,7.0,5688.14,101636.95
30,2017-10-15,11,7.0,11.0,5759.33,61358.95
31,2017-10-16,11,8.0,11.0,5598.58,65637.43
32,2017-10-17,11,10.0,9.0,5575.83,122020.31
33,2017-10-18,12,8.0,7.0,5698.65,83056.09
34,2017-10-19,11,11.0,9.0,5993.11,123860.51
35,2017-10-20,13,11.0,9.0,6006.65,112943.89
36,2017-10-21,14,13.0,10.0,5982.86,105030.93
37,2017-10-22,12,9.0,11.0,5903.61,137140.4
38,2017-10-23,14,14.0,9.0,5513.08,143735.81
39,2017-10-24,15,16.0,12.0,5734.0,105839.48
40,2017-10-25,13,7.0,11.0,5887.61,93675.55
41,2017-10-26,13,9.0,10.0,5764.56,83933.5
42,2017-10-27,11,7.0,11.0,5726.61,53232.17
43,2017-10-28,10,6.0,4.0,6147.52,163055.75
44,2017-10-29,10,11.0,9.0,6124.28,78624.31
45,2017-10-30,13,9.0,7.0,6451.24,101249.62
46,2017-10-31,14,14.0,10.0,6737.78,133191.93
47,2017-11-01,18,15.0,17.0,7024.81,238796.19
48,2017-11-02,24,17.0,18.0,7152.12,154886.75
49,2017-11-03,21,15.0,12.0,7363.8,106602.67
50,2017-11-04,17,11.0,9.0,7389.55,105727.2
51,2017-11-05,17,15.0,11.0,6959.23,159688.48
52,2017-11-06,17,12.0,12.0,7102.75,101044.57
53,2017-11-07,16,13.0,10.0,7444.36,220224.38
54,2017-11-08,18,15.0,14.0,7129.59,126769.9
55,2017-11-09,16,11.0,12.0,6565.8,222001.18
56,2017-11-10,20,15.0,20.0,6339.86,135719.07
57,2017-11-11,19,16.0,14.0,5878.13,269832.87
58,2017-11-12,24,21.0,21.0,6522.45,178340.89
59,2017-11-13,22,14.0,12.0,6597.06,96502.09
60,2017-11-14,17,13.0,16.0,7283.22,131120.23
61,2017-11-15,17,15.0,16.0,7853.68,133937.8
62,2017-11-16,18,14.0,12.0,7699.95,117347.03
63,2017-11-17,20,15.0,18.0,7780.91,74382.12
64,2017-11-18,15,9.0,9.0,8042.64,68618.85
65,2017-11-19,15,15.0,11.0,8244.69,75703.64
66,2017-11-20,19,15.0,16.0,8099.97,115454.28
67,2017-11-21,20,16.0,19.0,8234.55,65811.68
68,2017-11-22,17,13.0,13.0,8013.41,68010.7
69,2017-11-23,16,12.0,13.0,8200.8,72994.63
70,2017-11-24,15,13.0,14.0,8754.69,84670.41
71,2017-11-25,16,19.0,16.0,9318.42,85891.98
72,2017-11-26,24,27.0,16.0,9733.2,106902.79
73,2017-11-27,33,26.0,30.0,9906.04,87754.89
74,2017-11-28,37,28.0,33.0,9837.86,233325.32
75,2017-11-29,61,50.0,46.0,9946.76,187008.87
76,2017-11-30,50,37.0,34.0,10861.47,131918.85
77,2017-12-01,37,25.0,28.0,10912.73,86825.51
78,2017-12-02,30,22.0,17.0,11246.21,122125.7
79,2017-12-03,31,22.0,28.0,11623.91,93173.9
80,2017-12-04,35,26.0,28.0,11667.13,89687.21
81,2017-12-05,36,27.0,32.0,13749.57,191576.66
82,2017-12-06,47,43.0,34.0,16850.31,297108.66
83,2017-12-07,96,80.0,73.0,16047.61,286762.02
84,2017-12-08,87,60.0,58.0,14843.42,181979.81
85,2017-12-09,57,42.0,35.0,15059.6,201620.09
86,2017-12-10,54,38.0,34.0,16732.47,159724.56
87,2017-12-11,64,43.0,40.0,17083.9,132846.57
88,2017-12-12,58,46.0,47.0,16286.82,155407.35
